Abadzekhskaya
Abagur
Aban
Abaza
Abdrakhmanovo
Aborino
Abramtsevo
Abrau-Dyurso
Abryudkovo
Abzakovo
Achisu
Achit
Adagum
Adamovka
Adamovo
Aderbiyevka
Adler
Aduyevo
Adyge-Khabl
Aeroport
Afanasovo
Afanas’yevo
Afonasovo Pervoye
Afonino
Afonino
Agafonovo
Agalatovo
Agarino
Ageyevo
Agidel
Aginskoye
Agoy
Agryz
Agvali
Aibga
Ak-Dovurak
Akademgorodok
Akhmatovo
Akhtuba
Akhtubinsk
Akhtyrskiy
Akhunovo
Akishino
Akis’
Aknada
Aksakovo
Aksarka
Aksay
Aksay
Aksin’ino
Aksënovo
Aksënovo
Aktanysh
Aktuba
Aktyubinskiy
Akulino
Akulovo
Akulovo
Alabushevo
Alachkovo
Alagir
Alapayevsk
Alchan
Alekanovo
Aleksandriya
Aleksandro-Nevskiy
Aleksandrov
Aleksandrovka
Aleksandrovka
Aleksandrovka
Aleksandrovka
Aleksandrovka
Aleksandrovsk
Aleksandrovsk-Sakhalinskiy
Aleksandrovskaya
Aleksandrovskaya
Aleksandrovskaya
Aleksandrovskoye
Aleksandrovskoye
Aleksandrow
Alekseyev
Alekseyevka
Alekseyevka
Alekseyevka
Alekseyevskaya
Alekseyevskaya
Alekseyevskiye
Alekseyevskoye
Aleksino
Aleksino-Shatur
Alevra
Aleysk
Alferovo
Algasovo
Ali-Berdukovskiy
Alikovo
Alkhan-Kala
Alkhazurovo
Almaz
Almaznyy
Almetyevsk
Alnashi
Alozero
Alpatovo
Altay
Altayskiy Kray
Altayskoye
Al’shanskiy
Alëshkino
Alëshkino
Alëshnya
Amerevo
Amga
Amursk
Amurzet
Amzya
Ananovo
Anapa
Anastasiyevka
Anastasiyevskaya
Andra
Andreapol
Andreyevskoye
Andreyevskoye
Andreyevskoye
Andreyevskoye
Andreykovo
Andronova Gora
Angasolka
Anikin
Anikin Pochinok
Anisimovo
Anisovskiy
Anna
Annino
Annino
Antipayuta
Antipino
Antono-Shestakov
Antropovo
Antropovo
Antsiferovo
Anzhaniyemi
Anzhero-Sudzhensk
Apalikha
Aparinki
Aparinskiy
Apastovskiy Rayon
Apatity
Apsheronsk
Arapino
Arbuzovo
Ardatov
Argayash
Argudan
Arinino
Arkhangelsk
Arkhangelskoye
Arkhangel’skoye
Arkhipikha
Arkhipo-Osipovka
Arkhipovka
Arkul
Armak
Armanikha
Armenevo
Armizonskoye
Arneyevo
Aromashevo
Arshan
Arskiy Rayon
Arta
Artamonovo
Artem
Artemovskiy
Arti
Artyshta
Artëmov
Artëmovsk
Arzgir
Asakovo
Asekeyevo
Ashap
Ashcherino
Ashitkovo
Askino
Astakhov
Astretsovo
Atagay
Atamanskaya
Ateptsevo
Atkarsk
Aushiger
Avan’
Avariynyy
Avdot’ino
Avdot’ivo
Avneporog
Avsyunino
Avsyunino
Avtovo
Avtury
Avvaguba
Ayan
Ayat’
Aykino
Aysha
Ayutinskiy
Azanka
Azey
Aznakayevo
Azov
Babayevka
Babayurt
Babenki
Babkino
Babushkin
Babushkin
Babynino
Bachatskiy
Bachi-Yurt
Bada
Badalyk
Bagayevskaya
Bagrationovsk
Bakal
Bakaly
Bakinskaya
Baklashi
Baksheyevo
Baksheyevo
Balabanovo
Balabanovo
Balagansk
Balakhta
Balasheyka
Baley
Balezino
Balta
Baltasinskiy Rayon
Bammatyurt
Banya
Barabash
Baranovo
Barnaul
Barskaya
Barskoye Gorodishche
Barskoye-Melechkino
Barsovo
Barsuki
Baryatino
Barykino
Barysh
Baryshki
Bashmakovo
Bashutino
Batagay
Batetskiy
Baturino
Batyrevo
Bavly
Bavtugay
Bavykino
Bayanday
Baydayevka
Baydikovo
Bayevo
Baygazina
Baykal
Baykalsk
Baykit
Baymak
Baza
Bazarnyy Karabulak
Bazhevo
Bazhir
Begichevo
Begichevskiy
Bekeshevskaya
Beklemishevo
Bekovo
Belaya
Belaya Glina
Belaya Kalitva
Belaya Kholunitsa
Belaya Rechka
Beldyagino
Belebey
Belev
Belgatoy
Belgorodskaya Oblast’
Belikov
Belilovo
Belogorka
Belogorsk
Belogor’ye
Belokurikha
Belomestnoye
Belonogovo
Belorechensk
Beloyarsk
Beloye
Beloye Ozero
Belozernyy
Belozerskoye
Belozërovka
Belyayevka
Belyayevo
Belyayevo
Belyayevo
Belyy
Belyy
Belyy Gorodok
Belyy Yar
Belyy Yar
Bel’kovo
Berdigestyakh
Berdsk
Berdyaush
Beregovaya Pogorelovka
Berendeyevo
Beret’
Berezayka
Berezhnaya
Berezhnoy
Bereznya
Berezovo
Berezovskiy
Berezovyy
Beringovskiy
Berkut
Bernovo
Berëzki
Berëzovaya
Berëzovaya Sloboda
Berëzovets
Berëzovka
Besedy
Beshpagir
Beskudnikovo
Besskorbnaya
Bessonovka
Bestuzhevo
Beysug
Bezhanitsy
Bezhetsk
Bezhitskiy Rayon
Bezhtinskiy Uchastok Rayon
Bezymyanka
Bezymyannaya
Bibirëvo
Bigashevo
Bilimbay
Bira
Birikchul’
Birobidzhan
Biryulëvo
Biryusinsk
Biserovo
Biysk
Bizhbulyak
Bizimovo
Blagoveshchenka
Blagoveshchensk
Blagoyevo
Bledny
Blizhne-Pesochnoye
Blizhniye Prudishchi
Bobrov
Bobrovka
Bobrovo
Bobrovskaya
